Station_ID	Site	Lives	Markets	Spat	SBox	DBox	NBox	OBox	z.Lives	z.Markets	z.Spat	z.SBox	z.DBox	z.NBox	z.OBox	p.Lives	p.Markets	p.Spat	p.SBox	p.DBox	p.NBox	p.OBox
1	Aberdeen Rock	0.607094785	0.257456094	1.088418991	0.167794912	0	-0.134497799	-0.27752081	0.390576518	0.228247606	0.822370168	0.468806286	NaN	-0.309618528	-0.30515906	0.696	0.819	0.411	0.639	NaN	0.757	0.76
8	Bland Point	0.111112551	-0.472167603	1.534345607	-0.072983719	0	-0.15484804	-0.200966259	0.07217399	-0.472498431	0.955803152	-0.114012887	NaN	-0.381583691	-0.267180307	0.942	0.637	0.339	0.909	NaN	0.703	0.789
16	Brown Shoal	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17	Brown's Bay 2	0.240934439	0.704031238	-0.098018346	-0.031222846	-0.134319278	-0.057365461	-0.05458104	0.123001563	0.499208617	-0.06357293	-0.075831598	-0.42078958	-0.132746367	-0.078196816	0.902	0.618	0.949	0.94	0.674	0.894	0.938
20	Burton Point	0.488373329	-0.131026416	1.525837286	0.016086597	-0.251483935	-0.233230228	-0.509734705	0.268602381	-0.1146699	0.807037915	0.020919829	-0.433212335	-0.533529845	-0.559295574	0.788	0.909	0.42	0.983	0.665	0.594	0.576
24	Cape Toon	0.233317986	-0.318302457	0.972309941	-0.328193434	-0.135231455	-0.216053456	-0.515583863	0.167097237	-0.305498275	0.642287867	-0.396137398	-0.418811974	-0.531944664	-0.724721582	0.867	0.76	0.521	0.692	0.675	0.595	0.469
33	P.G. 56 Cockrell Creek	0.122619028	-0.004766535	-0.464105116	-0.326962971	0	-0.181603076	-0.503921686	0.085252146	-0.003822516	-0.321420148	-0.643230921	NaN	-0.520283979	-0.561207366	0.932	0.997	0.748	0.52	NaN	0.603	0.575
37	Cranes Creek	-0.47066034	-0.510072724	0.228590548	-0.575393268	-0.019804205	-0.204772511	-1.113790941	-0.481216133	-0.566504895	0.161530233	-0.954524328	-0.169030851	-0.519531755	-1.65772554	0.63	0.571	0.872	0.34	0.866	0.603	0.097
39	Dameron Marsh East	0.703829464	-0.301271662	-0.271728258	-0.396188864	0	0.133871992	0.14147996	0.402417995	-0.316577295	-0.169755516	-0.585222683	NaN	0.392903638	0.163885021	0.687	0.752	0.865	0.558	NaN	0.694	0.87
40	Day's Point	0.462532823	0.07100052	0.781508842	0.169987806	0	-0.038813386	0.281830215	0.224852703	0.062563313	0.446730726	0.364054636	NaN	-0.076595856	0.363518292	0.822	0.95	0.655	0.716	NaN	0.939	0.716
48	Fleeton Point	1.58677265	-0.487002655	1.457267202	-0.473696904	0	-0.076062415	-0.667686329	1.151539986	-0.488303726	1.039470345	-0.793237063	NaN	-0.282910772	-0.753035376	0.25	0.625	0.299	0.428	NaN	0.777	0.451
50	Ginney Point	-1.1218073	-0.565046866	-0.694787628	-0.224631427	0	-0.334377577	-0.392563126	-0.758288584	-0.511483418	-0.44654353	-0.339277794	NaN	-0.588656266	-0.559413533	0.448	0.609	0.655	0.734	NaN	0.556	0.576
64	Haynie Point	0.579128629	0.25771979	0.190507668	-0.319850336	0.138629436	-0.060933887	-0.900600405	0.441512784	0.202764385	0.115191755	-0.423249518	Inf	-0.134171378	-0.986105945	0.659	0.839	0.908	0.672	0	0.893	0.324
65	Hills Bay	1.073491221	0.827791475	1.641255892	-0.015733504	-0.093668538	-0.067159639	-0.131161575	0.518064851	0.786792022	1.022370691	-0.030370456	-0.389906434	-0.284865178	-0.161082945	0.604	0.431	0.307	0.976	0.697	0.776	0.872
75	Iron Point Reef	-0.159564154	-0.590896002	-0.583718978	-0.225890771	0	-0.172161912	0.079719126	-0.071067836	-0.366646687	-0.274895707	-0.25896084	NaN	-0.282822169	0.071486352	0.943	0.714	0.783	0.796	NaN	0.777	0.943
77	Island Bar	0.528957591	-0.343537169	1.203055337	-0.526821201	0	-0.187821466	-0.286704866	0.253937571	-0.25804892	0.66611911	-0.702422841	NaN	-0.509669667	-0.361800724	0.8	0.796	0.505	0.482	NaN	0.61	0.718
109	Page's Rock	0.444715126	0.592257333	0.862560436	0.112944921	0.004877702	0.174210592	-0.089073072	0.366778403	0.586246525	0.809509922	0.36256548	0.041045064	0.384465646	-0.114719113	0.714	0.558	0.418	0.717	0.967	0.701	0.909
110	Palace Bar	0.161386604	-0.573821542	0.325691388	-0.739646674	0	-0.246322624	-0.508115257	0.105040444	-0.726922366	0.200558644	-1.087709147	NaN	-0.557066868	-0.642534553	0.916	0.467	0.841	0.277	NaN	0.577	0.521
123	Point of Shoal	0.570669997	-0.49720328	1.462093744	-0.099353545	0	-0.295311778	-0.197170598	0.236256273	-0.318647723	0.690891942	-0.17128337	NaN	-0.415316377	-0.178475427	0.813	0.75	0.49	0.864	NaN	0.678	0.858
131	Nansemond Ridge	2.937796304	0.330678485	2.209813089	0.267456422	-0.018003823	0.353356615	0.403521783	3.727323369	1.492513171	1.591227344	0.526374276	-0.162235466	2.617359852	2.011850206	0	0.136	0.112	0.599	0.871	0.009	0.044
133	Sandy Point	-0.465144986	-0.517052825	-0.255285898	-0.624227624	0	-0.283989331	-0.647535792	-0.350553759	-0.515442749	-0.176249503	-0.933482304	NaN	-0.679476017	-0.781991661	0.726	0.606	0.86	0.351	NaN	0.497	0.434
135	Shell Bar	0.103295308	0.139302197	0.234830677	-0.462065835	0	-0.189144949	-0.137315963	0.052456604	0.13515536	0.123401335	-0.662694152	NaN	-0.332792722	-0.14233127	0.958	0.892	0.902	0.508	NaN	0.739	0.887
140	Stove Point	0.539535764	-0.374191398	1.589267204	-0.234052791	-0.099021026	-0.307158766	-0.292383413	0.320401024	-0.346342817	0.941762772	-0.307406946	-0.402373908	-0.685705248	-0.370059565	0.749	0.729	0.346	0.759	0.687	0.493	0.711
150	Three Branches	0.033319544	-1.054741016	1.920947096	0.132221663	0	-0.348256205	-0.603157309	0.024610379	-0.874753188	1.280440193	0.2321354	NaN	-0.739915711	-0.737271598	0.98	0.382	0.2	0.816	NaN	0.459	0.461
169	White Shoal	1.260732811	-0.017123625	-0.087284954	-0.003690234	0	-0.319957048	-0.047448814	1.796094147	-0.022962333	-0.083224137	-0.003884135	NaN	-0.590479052	-0.053574966	0.072	0.982	0.934	0.997	NaN	0.555	0.957
174	Wreck Shoal	1.059973846	-0.131042705	0.847812672	-0.213010261	0	0.487588893	0.330978735	0.505829635	-0.097521374	0.378166865	-0.304549137	NaN	0.834889119	0.321291356	0.613	0.922	0.705	0.761	NaN	0.404	0.748
180	Morattico Bar	0.706830476	0.046209812	0.676886911	-0.046209812	0	0	0.23104906	1.346531314	0.145643816	2.086524361	-0.25819889	NaN	NaN	Inf	0.178	0.884	0.037	0.796	NaN	NaN	0
187	Rogue Point	0.327811303	0.052600465	0.384641712	-0.257341639	0	-0.290364861	-0.293749756	0.219575176	0.057115422	0.195869488	-0.279290714	NaN	-0.568395846	-0.390177089	0.826	0.954	0.845	0.78	NaN	0.57	0.696
